class PEDESTRIAN
    sequence: 01
        frame: 000000 -> precision 100%, recall 100%, iou 100%
        frame: 000001 -> precision 100%, recall 100%, iou 100%
        frame: 000002 -> precision 100%, recall 100%, iou 100%
        frame: 000003 -> precision 100%, recall 100%, iou 100%
        frame: 000004 -> precision 100%, recall 100%, iou 100%
        frame: 000005 -> precision 100%, recall 100%, iou 100%
        frame: 000006 -> precision 100%, recall 100%, iou 100%
        frame: 000007 -> precision 100%, recall 100%, iou 100%
        frame: 000390 -> precision 0%, recall 100%, iou 0.0%
        frame: 000391 -> precision 0%, recall 100%, iou 0.0%
        frame: 000392 -> precision 0%, recall 100%, iou 0.0%
        frame: 000393 -> precision 0%, recall 100%, iou 0.0%
        frame: 000394 -> precision 0%, recall 100%, iou 0.0%
        frame: 000395 -> precision 0%, recall 100%, iou 0.0%
        frame: 000396 -> precision 0%, recall 100%, iou 0.0%
    average sequence precision 53.33%, average sequence recall 100.0%, average sequence iou 53.33%

    sequence: 05
        frame: 000580 -> precision 100%, recall 0.0%, iou 0.0%
        frame: 000581 -> precision 100%, recall 0.0%, iou 0.0%
        frame: 000582 -> precision 100%, recall 0.0%, iou 0.0%
        frame: 000583 -> precision 100%, recall 0.0%, iou 0.0%
        frame: 000584 -> precision 100%, recall 0.0%, iou 0.0%
        frame: 000600 -> precision 100%, recall 100%, iou 100%
        frame: 000601 -> precision 100%, recall 0.0%, iou 0.0%
        frame: 000602 -> precision 100%, recall 0.0%, iou 0.0%
        frame: 000603 -> precision 100%, recall 0.0%, iou 0.0%
        frame: 000604 -> precision 100%, recall 0.0%, iou 0.0%
    average sequence precision 100.0%, average sequence recall 10.0%, average sequence iou 10.0%

    sequence: 07
        frame: 000000 -> precision 98.8%, recall 89.67%, iou 88.71%
        frame: 000001 -> precision 99.4%, recall 91.16%, iou 90.66%
        frame: 000002 -> precision 100.0%, recall 91.67%, iou 91.67%
        frame: 000003 -> precision 100.0%, recall 89.66%, iou 89.66%
        frame: 000004 -> precision 100.0%, recall 89.02%, iou 89.02%
        frame: 000011 -> precision 100.0%, recall 92.59%, iou 92.59%
        frame: 000012 -> precision 100.0%, recall 94.68%, iou 94.68%
        frame: 000013 -> precision 100.0%, recall 92.93%, iou 92.93%
        frame: 000014 -> precision 100.0%, recall 87.78%, iou 87.78%
        frame: 000015 -> precision 100.0%, recall 88.51%, iou 88.51%
    average sequence precision 99.82%, average sequence recall 90.77%, average sequence iou 90.62%

for class PEDESTRIAN on KITTI dataset, the final average metrics are: precision 79.95% recall 71.65% and iou 51.61%
evaluation finished in 30.6 seconds

